Radio_type,MCC,MNC,Location_Code,CID,Latitude,Longitude,Range,Samples,Change=1,Change=0,Created,Updated,av_signal
UMTS,645,1,1009,161594,0,28.34815979,-15.44746399,1000,1,1,1451532925,1451532925,0
UMTS,645,1,1010,99902,0,32.63832092,-13.62098694,1000,1,1,1452420829,1452420829,0
UMTS,645,1,1009,110539,0,28.34815979,-15.40077209,1000,1,1,1445513878,1445513878,0
UMTS,645,1,2009,620826,0,28.18336487,-12.5868988,1000,1,1,1433060815,1433060815,0
UMTS,645,1,2009,621497,0,28.31382751,-12.89176941,1000,1,1,1444096657,1444096657,0
UMTS,645,1,2009,621399,0,28.21357727,-12.79151917,1000,1,1,1432824331,1432824331,0
UMTS,645,1,2009,630187,0,28.277435,-12.882156,1000,2,1,1458861239,1472389593,0
UMTS,645,1,2009,627167,0,28.24790955,-12.87254333,1000,1,1,1444096678,1444096678,0
UMTS,645,1,2009,621676,0,28.2396698,-12.80662537,1000,3,1,1458861239,1491361941,0
UMTS,645,1,2009,627285,0,28.08311462,-12.84507751,1000,1,1,1444737181,1444737181,0
UMTS,645,1,2009,630985,0,28.16139221,-12.75306702,1000,1,1,1444737185,1444737185,0
UMTS,645,1,2009,621706,0,28.21083069,-12.82447815,1000,1,1,1432824331,1432824331,0
UMTS,645,1,2009,630060,0,27.87025452,-12.53746033,1000,1,1,1458451636,1458451636,0
UMTS,645,1,2009,621369,0,27.868685,-12.535891,1000,7,1,1458861238,1492128636,0
UMTS,645,1,2009,621656,0,28.19709778,-12.78053284,1000,2,1,1458861239,1476685675,0
UMTS,645,1,2009,621699,0,28.25614929,-12.87117004,1000,1,1,1444096657,1444096657,0
UMTS,645,1,2009,624596,0,28.23417664,-12.82310486,1000,1,1,1441539788,1441539788,0
UMTS,645,1,2009,621688,0,28.19847107,-12.80525208,1000,1,1,1444737155,1444737155,0
UMTS,645,1,2009,621718,0,28.22868347,-12.85469055,1000,1,1,1444096678,1444096678,0
UMTS,645,1,2108,21686,0,28.88648987,-11.19987488,1000,1,1,1434527134,1434527134,0
UMTS,645,1,2108,621529,0,28.651657,-12.97142,1000,2,1,1458861240,1460451176,0
UMTS,645,1,2108,620890,0,28.24516296,-12.54981995,1000,1,1,1444737181,1444737181,0
UMTS,645,1,2108,620906,0,28.654861,-12.974167,1000,3,1,1458861239,1477472591,0
UMTS,645,1,2108,621227,0,28.71620178,-13.0304718,1000,1,1,1433391364,1433391364,0
UMTS,645,1,2108,621526,0,28.659897,-12.974167,1053,2,1,1458861240,1460451176,0
UMTS,645,1,2108,620909,0,28.655319,-12.973709,1000,3,1,1458861239,1489720110,0
UMTS,645,1,2108,621295,0,28.69148254,-13.17741394,1000,1,1,1444096678,1444096678,0
UMTS,645,1,2108,625245,0,31.20735168,-10.20835876,1000,1,1,1443316210,1443316210,0
UMTS,645,1,2108,625267,0,31.24855042,-10.02708435,1000,1,1,1426316983,1426316983,0
UMTS,645,1,2108,622317,0,28.65028381,-13.00849915,1000,1,1,1433391335,1433391335,0
UMTS,645,1,2108,621555,0,28.61869812,-13.0002594,1000,1,1,1441819433,1441819433,0
UMTS,645,1,2108,626935,0,25.885849,-12.26966858,1000,1,1,1432686717,1432686717,0
UMTS,645,1,2108,627177,0,26.40083313,-12.18315125,1000,1,1,1429674682,1429674682,0
UMTS,645,1,2108,621640,0,28.221628,-12.544419,1479,2,1,1458861240,1505876414,0
UMTS,645,1,2108,625248,0,31.20872498,-10.20835876,1000,1,1,1441589450,1441589450,0
UMTS,645,1,2108,621588,0,28.39759827,-13.13209534,1000,1,1,1442364109,1442364109,0
